Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Skype,Широта,Долгота,2GIS URL,Тип,Twitter,Telegram 1,Telegram 2,Telegram 3,Тип;;;;;;;;;;;;;;;;;;;,E-mail,Тип;;;;;;;;;;;;;;;;;;,Viber 1,Viber 2,Тип;;;;;;;;;;;;;;;;;,Тип;;;;;;;;;;;;;;;;;;;;;;;
Данияр,продуктовый магазин,Продуктовые магазины,"улица Аккайын, 24а",,50047.0,Саялы м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,,,,,,,,,,,,,,,,,,,,,,43.312116,76.844304,https://2gis.com/firm/70000001095014236,branch,,,,,,,,,,,
Дарабоз,продуктовый магазин,Продуктовые магазины,"микрорайон Дарабоз, 39",1 этаж,50000.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.2,27.0,,,,,,,,,,,,,,,,,,,,43.266866,76.820975,https://2gis.com/firm/70000001047855877,branch,,,,,,,,,,,
Дархан,магазин,Продуктовые магазины,"микрорайон Дархан, 318",,50024.0,Дархан м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,1.4,5.0,87078848994,,,,,,,,,,,,https://wa.me/77078848994,,,,,,,43.311881,76.874037,https://2gis.com/firm/70000001024830879,branch,,,,,,,,,,,
Дархан,супермаркет,Супермаркеты,"улица Тайказан, 5",1 этаж,50024.0,Дархан м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,3.1,28.0,87019689999,,,,,,,,,,,,https://wa.me/77019689999,,,,,,,43.315567,76.876097,https://2gis.com/firm/70000001024836116,branch,,,,,,,,,,,
Дархан city,магазин,Продуктовые магазины,"улица Каракоз, 1",,50024.0,Дархан м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:00-01:00; Вт: 07:00-01:00; Ср: 07:00-01:00; Чт: 07:00-01:00; Пт: 07:00-01:00; Сб: 07:00-01:00; Вс: 07:00-01:00,+05:00,2.4,2.0,87075311148,,,,,,,,,,,,https://wa.me/77075311148,,,,,,,43.316635,76.878871,https://2gis.com/firm/70000001089109501,branch,,,,,,,,,,,
Дарын,продуктовый магазин,Продуктовые магазины,"улица Окжетпес, 48а",,50065.0,Шанырак-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-21:00; Вс: 07:00-21:00,+05:00,5.0,1.0,,,,,,,,,,,,,,,,,,,,43.291161,76.859684,https://2gis.com/firm/70000001044411754,branch,,,,,,,,,,,
Дастан,продовольственный магазин,Продуктовые магазины,"улица Бекболата, 15/2",,50024.0,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,32.0,87473910909,,,,,,,,,,,,https://wa.me/77473910909,,,,,,,43.307577,76.89017,https://2gis.com/firm/70000001039954622,branch,,,,,,,,,,,
Дастархан,продуктовый магазин,Продуктовые магазины,"микрорайон Саялы, 18",цокольный этаж,50047.0,Саялы м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,3.0,4.0,87477229132,,,,,,,,,,,,https://wa.me/77477229132,,,,,,,43.308837,76.840384,https://2gis.com/firm/70000001032172692,branch,,,,,,,,,,,
Даулет,продуктовый магазин,Продуктовые магазины,"улица Майкопская, 13в",,50047.0,Айгерим-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,4.8,1.0,,,,,,,,,,,,,,,,,,,,43.265048,76.842909,https://2gis.com/firm/70000001086769375,branch,,,,,,,,,,,
Дәурен,магазин,Продуктовые магазины,"улица Татулык, 9/1",,50047.0,Коккайнар м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,,,,,,,,,,,,,,,,,,,,,,43.291257,76.840208,https://2gis.com/firm/70000001046069280,branch,,,,,,,,,,,
Декор Алматы,магазин,Декоративные отделочные элементы и материалы; Фасадные материалы / конструкции,"проспект Турара Рыскулова, 103в",1 ряд; 51 ангар,50058.0,,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,,,87074285049,87473439535,,,,,,,,https://instagram.com/decoralmaty_19,,,https://wa.me/77074285049,,,,,,,43.271117,76.88159,https://2gis.com/firm/70000001090548724,branch,,,,,,,,,,,
Дерзкий Данияр Дарабоз,магазин,Продуктовые магазины; Хозтовары,"микрорайон Дарабоз, 55",,50000.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-03:00; Вт: 09:00-03:00; Ср: 09:00-03:00; Чт: 09:00-03:00; Пт: 09:00-03:00; Сб: 09:00-03:00; Вс: 09:00-03:00,+05:00,2.8,7.0,87751632746,,,,,,,,,,,,https://wa.me/77751632746,,,,,,,43.268815,76.820981,https://2gis.com/firm/70000001082734121,branch,,,,,,,,,,,
Диана ,продуктовый магазин,Продуктовые магазины,"Махамбет Отемисулы улица, 50",,50065.0,Шанырак-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.9,5.0,,,,,,,,,,,,,,,,,,,,43.293663,76.863777,https://2gis.com/firm/70000001083308320,branch,,,,,,,,,,,
Диана,магазин,Продуктовые магазины,"проспект Райымбека, 517/6",,50024.0,,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00; Вс: 08:00-18:00,+05:00,,,,,,,,,,,,,,,,,,,,,,43.236326,76.802956,https://2gis.com/firm/70000001081053285,branch,,,,,,,,,,,
Диана,мини-маркет,Продуктовые магазины,"улица Жалайыр, 44 к1",,50058.0,Улжан-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+05:00,3.7,7.0,87079070727,,,,,,,,,,,,https://wa.me/77079070727,,,,,,,43.298182,76.871457,https://2gis.com/firm/70000001087689516,branch,,,,,,,,,,,
Диана,продуктовый магазин,Продуктовые магазины,"улица Чурина, 5",,50061.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,1.9,7.0,,,,,,,,,,,,,,,,,,,,43.260832,76.862389,https://2gis.com/firm/70000001058919694,branch,,,,,,,,,,,
Диана,продуктовый магазин,Продуктовые магазины,"улица Фаризы Онгарсыновой, 200",,50053.0,Алгабас м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-03:00; Вт: 08:00-03:00; Ср: 08:00-03:00; Чт: 08:00-03:00; Пт: 08:00-03:00; Сб: 08:00-03:00; Вс: 08:00-03:00,+05:00,2.0,4.0,87477557783,87471169057,,,,,,,,,,,https://wa.me/77477557783,https://wa.me/77471169057,,,,,,43.246684,76.803879,https://2gis.com/firm/70000001044861197,branch,,,,,,,,,,,
Диана,продуктовый магазин,Продуктовые магазины,"улица 3-й градокомплекс, 230а",,50058.0,Шапагат м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-02:00; Вт: 08:00-02:00; Ср: 08:00-02:00; Чт: 08:00-02:00; Пт: 08:00-02:00; Сб: 08:00-02:00; Вс: 08:00-02:00,+05:00,2.0,3.0,,,,,,,,,,,,,,,,,,,,43.298958,76.886845,https://2gis.com/firm/70000001023516106,branch,,,,,,,,,,,
Диас ,продуктовый магазин,Продуктовые магазины,"улица Молодежная, 168Б",1 этаж,50024.0,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,5.0,1.0,87477054677,,,,,,,,,,,,,,,,,,,43.328988,76.904476,https://2gis.com/firm/70000001094078427,branch,,,,,,,,,,,
Диас,продуктовый магазин,Продуктовые магазины,"улица Жалантос Бахадур, 14а",,50065.0,Шанырак-2 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,5.0,5.0,,,,,,,,,,,,,,,,,,,,43.281686,76.847611,https://2gis.com/firm/70000001039295978,branch,,,,,,,,,,,
Дидар,продуктовый магазин,Продуктовые магазины,"улица Алмерек Абыз, 94/1",,50047.0,Айгерим-2 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+05:00,5.0,6.0,,,,,,,,,,,,,,,,,,,,43.275033,76.832731,https://2gis.com/firm/9429940001685607,branch,,,,,,,,,,,
Дулат,продуктовый магазин,Продуктовые магазины,"улица Хан шатыр, 8а",,50038.0,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,43.248723,76.82505,https://2gis.com/firm/70000001056458214,branch,,,,,,,,,,,
Думан,магазин продуктов питания,Продуктовые магазины,"улица Алимкулова, 16/1",,50038.0,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-01:00; Вт: 08:00-01:00; Ср: 08:00-01:00; Чт: 08:00-01:00; Пт: 08:00-01:00; Сб: 08:00-01:00; Вс: 08:00-01:00,+05:00,3.5,5.0,,,,,,,,,,,,,,,,,,,,43.253623,76.835337,https://2gis.com/firm/70000001035734874,branch,,,,,,,,,,,
Егемен,продуктовый магазин,Продуктовые магазины,"улица Егемен, 7",,50065.0,Шанырак-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,1.0,,,,,,,,,,,,,,,,,,,,43.292532,76.861164,https://2gis.com/firm/70000001076230036,branch,,,,,,,,,,,
Еламан,продуктовый магазин,Продуктовые магазины; Разливное пиво,"улица Немировича-Данченко, 12",1 этаж,50061.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,3.0,,,,,,,,,,,,,,,,,,,,43.260003,76.869273,https://2gis.com/firm/70000001057692871,branch,,,,,,,,,,,
Енлик,продовольственный магазин,Продуктовые магазины,"улица Такежанова, 55",,50058.0,Улжан-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,3.7,3.0,,,,,,,,,,,,,,,,,,,,43.304259,76.874288,https://2gis.com/firm/70000001045846484,branch,,,,,,,,,,,
Ер-нур,магазин,Продуктовые магазины,"улица Нурлы, 308",,50058.0,Шапагат м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-02:00; Вт: 08:00-02:00; Ср: 08:00-02:00; Чт: 08:00-02:00; Пт: 08:00-02:00; Сб: 08:00-02:00; Вс: 08:00-02:00,+05:00,4.9,1.0,87075025495,,,,,,,,,,,,https://wa.me/77075025495,,,,,,,43.302458,76.890638,https://2gis.com/firm/70000001039441062,branch,,,,,,,,,,,
Ербол,продуктовый магазин,Продуктовые магазины,"улица Азат, 28Б",,40707.0,Бурундай м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,5.0,1.0,87769696120,,,,,,,,,,,,https://wa.me/77769696120,,,,,,,43.342119,76.845066,https://2gis.com/firm/70000001044885096,branch,,,,,,,,,,,
Динара,магазин продуктов питания,Продуктовые магазины,"Махамбет Отемисулы улица, 40г",,50065.0,Шанырак-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.8,2.0,,,,,,,,,,,,,,,,,,,,43.290052,76.864475,https://2gis.com/firm/70000001022484682,branch,,,,,,,,,,,
Динара,продуктовый магазин,Продуктовые магазины; Хозтовары,"шоссе Северное Кольцо, 92/3 к3",цокольный этаж,50024.0,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,3.7,3.0,87712521854,87071377040,,,,,,,,,,,,,,,,,,43.31342,76.896875,https://2gis.com/firm/70000001076467488,branch,,,,,,,,,,,
Динара,продуктовый магазин,Продуктовые магазины,"микрорайон Саялы, 33",цокольный этаж,50047.0,Саялы м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-16:00,+05:00,3.2,2.0,87085343700,87771101007,,,,,,,,,,,https://wa.me/77085343700,https://wa.me/77771101007,,,,,,43.307964,76.839538,https://2gis.com/firm/70000001034636762,branch,,,,,,,,,,,
Динара,продуктовый магазин,Продуктовые магазины,"улица Емцова, 2а",1 этаж,50061.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.1,32.0,,,,,,,,,,,,,,,,,,,,43.256495,76.86203,https://2gis.com/firm/9429940001012583,branch,,,,,,,,,,,
Доборная доска,магазин,Стройматериалы; Напольные покрытия; Погонажные изделия; Обои; Межкомнатные двери,"шоссе Северное Кольцо, 36Б",,50024.0,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,,,87785830383,,,,,,,,,https://instagram.com/door_house_almaty,,,https://wa.me/77785830383,,,,,,,43.318994,76.903144,https://2gis.com/firm/70000001079966070,branch,,,,,,,,,,,
Доброцен,супермаркет,Супермаркеты,"проспект Турара Рыскулова, 103/21Б",1 этаж,50061.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,3.8,49.0,,,,,,,,,,,,,,,,,,,,43.262388,76.855043,https://2gis.com/firm/70000001058986538,branch,,,,,,,,,,,
Добряк,мини-маркет,Супермаркеты; Разливное пиво,"проспект Райымбека, 351/2 блок 4",,50061.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,9.0,87073176458,,,,,,,,,,,,https://wa.me/77073176458,,,,,,,43.258996,76.865355,https://2gis.com/firm/70000001087620019,branch,,,,,,,,,,,
Дора,магазин,Нижнее бельё,"шоссе Северное Кольцо, 50",цокольный этаж,50058.0,,Алатауский район,Алматы,,Алматы,Казахстан,Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00; Вс: 10:00-17:00,+05:00,,,87476268817,,,,,,,,,,,,https://wa.me/77476268817,,,,,,,43.293056,76.890309,https://2gis.com/firm/70000001075858549,branch,,,,,,,,,,,
Достық,продуктовый магазин ,Продуктовые магазины,"улица Баршын, 22/1",,50053.0,Алгабас м-н,Алатауский район,Алматы,,Алматы,Казахстан,,+05:00,,,87059724061,,,,,,,,,,,,,,,,,,,43.264394,76.798555,https://2gis.com/firm/70000001093622916,branch,,,,,,,,,,,
Ердаулет,магазин,Продуктовые магазины,"улица Хасен Оралтай, 212",,50024.0,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,,,,,,,,,,,,,,,,,,,,,,43.33073,76.888708,https://2gis.com/firm/70000001064248911,branch,,,,,,,,,,,
Ержан,продуктовый магазин,Продуктовые магазины,"улица Бокеева, 49",,50061.0,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,2.6,7.0,,,,,,,,,,,,,,,,,,,,43.263463,76.880813,https://2gis.com/firm/9429940001018444,branch,,,,,,,,,,,
Ержан Али,продовольственный магазин,Продуктовые магазины,"улица Бирлик, 26а",,50065.0,Шанырак-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,,,,,,,,,,,,,,,,,,,,,,43.278851,76.862227,https://2gis.com/firm/70000001024153201,branch,,,,,,,,,,,
Ерке,магазин,Продуктовые магазины,"улица Жанкожа батыра, 184/1",,50065.0,Шанырак-2 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 06:30-02:30; Вт: 06:30-02:30; Ср: 06:30-02:30; Чт: 06:30-02:30; Пт: 06:30-02:30; Сб: 06:30-02:30; Вс: 06:30-02:30,+05:00,4.0,4.0,87011007453,,,,,,,,,,,,https://wa.me/77011007453,,,,,,,43.304997,76.853998,https://2gis.com/firm/70000001061424317,branch,,,,,,,,,,,
Ерке,продуктовый магазин,Продуктовые магазины,"улица Жанкожа батыра, 278",,50065.0,Шанырак-2 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,,,,,,,,,,,,,,,,,,,,43.304583,76.854002,https://2gis.com/firm/70000001082382717,branch,,,,,,,,,,,
Ерке өнері,магазин бижутерии,Бижутерия,"микрорайон Аккент, 18",1 этаж,50038.0,Аккент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,,,87070594080,87479938203,,,,,,,,,,,https://wa.me/77070594080,https://wa.me/77479938203,,,,,,43.242827,76.81536,https://2gis.com/firm/70000001090289792,branch,,,,,,,,,,,
Еркежан,мини-маркет,Супермаркеты,"микрорайон Зердели, 1/19",1 этаж,50038.0,Зерделі м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 07:00-01:00; Вт: 07:00-01:00; Ср: 07:00-01:00; Чт: 07:00-01:00; Пт: 07:00-01:00; Сб: 07:00-01:00; Вс: 07:00-01:00,+05:00,3.9,11.0,87472461015,87757639798,,,,,,,,,,,https://wa.me/77472461015,,,,,,,43.278057,76.81883,https://2gis.com/firm/70000001054720942,branch,,,,,,,,,,,
Еркем,магазин,Продуктовые магазины,"улица Тауасарова, 70",,50024.0,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,,+05:00,,,87474807706,,,,,,,,,,,,,,,,,,,43.321682,76.89524,https://2gis.com/firm/70000001092494127,branch,,,,,,,,,,,
Ерлан,магазин,Продуктовые магазины,"улица Баганалы Орда, 91/1",1 этаж,50048.0,Карасу м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,5.0,1.0,87478570306,87772591752,,,,,,,,,,,https://wa.me/77772591752,https://wa.me/77478570306,,,,,,43.3313,76.904774,https://2gis.com/firm/70000001055098694,branch,,,,,,,,,,,
Ернар,мини-маркет,Супермаркеты,"улица Чуланова, 61",,50038.0,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-01:30; Вт: 08:00-01:30; Ср: 08:00-01:30; Чт: 08:00-01:30; Пт: 08:00-01:30; Сб: 08:00-01:30; Вс: 08:00-01:30,+05:00,2.0,16.0,,,,,,,,,,,,,,,,,,,,43.251143,76.827558,https://2gis.com/firm/9429940001684894,branch,,,,,,,,,,,
Ернур,продуктовый магазин,Продуктовые магазины,"улица Койшыбаева, 39/1",,50047.0,Томирис м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.2,5.0,,,,,,,,,,,,,,,,,,,,43.31298,76.858612,https://2gis.com/firm/70000001045006196,branch,,,,,,,,,,,
Ернур,продуктовый магазин,Продуктовые магазины,"улица 3-й градокомплекс, 190Б/1",1 этаж,50058.0,Шапагат м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,5.0,2.0,,,,,,,,,,,,,,,,,,,,43.298604,76.889897,https://2gis.com/firm/70000001039670395,branch,,,,,,,,,,,
Ертай,мини-маркет,Супермаркеты,"улица Центральная, 2/26",,50047.0,Томирис м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:30-23:00; Вт: 08:30-23:00; Ср: 08:30-23:00; Чт: 08:30-23:00; Пт: 08:30-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00,+05:00,4.9,1.0,,,,,,,,,,,,,,,,,,,,43.315471,76.848366,https://2gis.com/firm/70000001045081428,branch,,,,,,,,,,,
Есил,продуктовый магазин,Продуктовые магазины,"улица Орбулак, 27/1",,50065.0,Шанырак-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.3,3.0,87770331475,,,,,,,,,,,,https://wa.me/77770331475,,,,,,,43.303459,76.861496,https://2gis.com/firm/70000001046133142,branch,,,,,,,,,,,
Есхат,продовольственный магазин,Продуктовые магазины,"улица Жанкожа батыра, 39",,50065.0,Шанырак-2 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.4,13.0,87476171917,,,,,,,,,,,,,,,,,,,43.285428,76.850009,https://2gis.com/firm/70000001020359928,branch,,,,,,,,,,,
Есыл,продуктовый магазин,Продуктовые магазины,"улица Бесагаш, 1а",,50047.0,Коккайнар м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,4.4,3.0,87479012842,,,,,,,,,,,,https://wa.me/77479012842,,,,,,,43.301708,76.843497,https://2gis.com/firm/70000001033928228,branch,,,,,,,,,,,
Ет Мясо,магазин,Мясо / Полуфабрикаты,"улица Самен батыра, 24",,50053.0,Алгабас м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00; Вс: 08:00-19:00,+05:00,3.6,6.0,87028737244,87026657309,,,,,,,,,,,https://wa.me/77026657309,https://wa.me/77028737244,,,,,,43.251405,76.797707,https://2gis.com/firm/70000001044643410,branch,,,,,,,,,,,
