Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Skype,Широта,Долгота,2GIS URL,Тип
Marketweb.kz,магазин,Продукты пчеловодства; Товары для творчества; Сувениры; Хозтовары; Ароматовары,"улица Каныша Сатпаева, 35а",цокольный этаж,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.0,4,87072777771,,,,http://marketweb.kz,,,https://instagram.com/marketweb.kz,,,https://wa.me/77072777771,,,,,,,,43.236098,76.908162,https://2gis.com/firm/70000001028593534,branch
Mart ,продуктовый магазин,Продуктовые магазины,"улица Каныша Сатпаева, 90/73",,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.9,1,,,,,,,,,,,,,,,,,,,43.230843,76.88176,https://2gis.com/firm/70000001093748501,branch
Maxi,продуктовый магазин,Продуктовые магазины,"улица Утепова, 19а/1",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,3.4,5,,,,,,,,,,,,,,,,,,,43.219708,76.894847,https://2gis.com/firm/70000001052454977,branch
Maxi market,продуктовый магазин,Продуктовые магазины,"проспект Сейфуллина, 518",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.3,73,87012227764,,,,,,,,,,https://wa.me/77021547656,https://wa.me/77012227764,,,,,,,43.246652,76.934032,https://2gis.com/firm/70000001044745072,branch
Medina,мини-маркет,Супермаркеты,"бульвар Бухар жырау, 35",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,3.8,9,,,,,,,,,,,,,,,,,,,43.233598,76.92212,https://2gis.com/firm/70000001079609331,branch
Merci market,продуктовый магазин,Продуктовые магазины,"улица Егизбаева, 3 к6",,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-03:00; Вт: 08:00-03:00; Ср: 08:00-03:00; Чт: 08:00-03:00; Пт: 08:00-03:00; Сб: 08:00-03:00; Вс: 08:00-03:00,+05:00,2.8,32,87022050057,,,,,,,,,,,,,,,,,,43.232728,76.885041,https://2gis.com/firm/70000001079659902,branch
Merei,мини-маркет,Продуктовые магазины,"улица Казыбек Тауасарулы, 36",1 этаж,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,1.5,15,87077375377,87785606703,,,,,,,,,https://wa.me/77077375377,,,,,,,,43.188639,76.897689,https://2gis.com/firm/70000001041696929,branch
Mermoza,магазин,Купальники; Пляжные принадлежности,"улица Курмангазы, 97",,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 13:00-18:00; Вт: 13:00-18:00; Ср: 13:00-18:00; Чт: 13:00-18:00; Пт: 13:00-18:00; Сб: 13:00-18:00; Вс: 13:00-18:00,+05:00,5.0,2,87054637280,,,,,,,https://instagram.com/mermoza_swimwear,,,https://wa.me/77054637280,,,,,,,,43.24401,76.931419,https://2gis.com/firm/70000001087009886,branch
Metro market,магазин,Продуктовые магазины,,,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,,,,,,,,,,,,,,,,,,,,,43.240057,76.916761,https://2gis.com/firm/70000001090009189,branch
Metro Market,магазин,Продуктовые магазины,,,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,1.4,14,,,,,,,,,,,,,,,,,,,43.242974,76.951202,https://2gis.com/firm/70000001083306624,branch
Metro маркет,продуктовый магазин,Продуктовые магазины,,,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,3.0,8,,,,,,,,,,,,,,,,,,,43.24061,76.917667,https://2gis.com/firm/70000001063543372,branch
Mfood.kz,супермаркет,Супермаркеты; Доставка продуктов,"проспект Гагарина, 310/1",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+05:00,4.2,29,87013012615,,,mfood@mfood.kz,http://www.mfood.kz,,,https://instagram.com/mfood.kz,,,https://wa.me/77013012615,,,,https://t.me/mfoodkz,,,,43.200478,76.901118,https://2gis.com/firm/70000001086745709,branch
Mia Home,магазин,Посуда; Сувениры; Домашний текстиль; Товары для праздников; Ароматовары,"улица Тимирязева, 42 к3",2 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.6,93,87788734724 (касса),,,,,,,https://instagram.com/miahome_kz,,,https://wa.me/77788734724,,,,,,,,43.224987,76.9086,https://2gis.com/firm/70000001066316626,branch
Micro Market,мини-маркет,Супермаркеты,"проспект Аль-Фараби, 71/10",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,,,,,,,,,,,,,,,,,,,,,43.21939,76.919582,https://2gis.com/firm/9429940001208133,branch
Milavitsa,магазин,Нижнее бельё; Носки / Колготки,"улица Тимирязева, 42 к3",5 бутик; 1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.5,21,87471151049,,,,http://milavitsa-shop.kz,,,https://instagram.com/milavitsaofficial.kz,,,https://wa.me/77071151916,,,,,,,,43.225098,76.909896,https://2gis.com/firm/70000001036463050,branch
Milavitsa,магазин,Нижнее бельё; Носки / Колготки,"проспект Сейфуллина, 617",1 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.4,14,87071157976,,,,http://milavitsa-shop.kz,,,https://instagram.com/milavitsaofficial.kz,,,https://wa.me/77071151916,,,,,,,,43.233995,76.935479,https://2gis.com/firm/70000001035099951,branch
Milavitsa,магазин,Нижнее бельё; Носки / Колготки; Трикотажные изделия,"улица Каныша Сатпаева, 90",2 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.5,23,87471150906,,,,http://milavitsa-shop.kz,,,https://instagram.com/milavitsaofficial.kz,,,https://wa.me/77071151916,,,,,,,,43.23303,76.878506,https://2gis.com/firm/70000001027713762,branch
Million Hair Shop,магазин,Парики / Накладные волосы,"улица Айманова, 224",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00,+05:00,1.0,1,87075081818,,,,,,,https://instagram.com/millionhair.shop,,,https://wa.me/77075081818,,,,,,,,43.225896,76.898515,https://2gis.com/firm/70000001081139405,branch
Mini market,,Супермаркеты,"проспект Гагарина, 310 блок 1",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:30-24:00; Вт: 07:30-24:00; Ср: 07:30-24:00; Чт: 07:30-24:00; Пт: 07:30-24:00; Сб: 07:30-24:00; Вс: 07:30-24:00,+05:00,3.5,6,87071069069,,,,,,,,,,https://wa.me/77071069069,,,,,,,,43.200718,76.899844,https://2gis.com/firm/70000001078716784,branch
Mir store,супермаркет,Супермаркеты,"микрорайон Самал-2, 48",1 этаж,050059,Самал-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,2.9,37,87779180058,,,,,,,https://instagram.com/mirstore_almaty,,,https://wa.me/77779180058,,,,,,,,43.229607,76.953451,https://2gis.com/firm/70000001052109470,branch
Miras Coffee&Shop ,магазин,Продуктовые магазины,"микрорайон Мирас, 31 блок 7",1 этаж,050043,Мирас м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,3.4,6,87081110550,,,,,,,https://instagram.com/miras.coffeeshop,,,https://wa.me/77081110550,,,,,,,,43.18975,76.875074,https://2gis.com/firm/70000001060028212,branch
Miras Store,мини-маркет,Продуктовые магазины,"улица Байтурсынова, 169",1 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.5,38,87710020003 (единая справочная: круглосуточно),,,,,,,,,,,,,,,,,,43.23163,76.933831,https://2gis.com/firm/70000001043867584,branch
Miras Store,мини-маркет,Супермаркеты,"улица Тимирязева, 80",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.7,48,87471222075,,,,,,,,,,,,,,,,,,43.224511,76.888712,https://2gis.com/firm/70000001043120949,branch
Miras Store,мини-маркет,Супермаркеты,"улица Шевченко, 85",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.7,89,87752681885,,,,,,,,,,https://wa.me/77752681885,,,,,,,,43.246305,76.93505,https://2gis.com/firm/70000001040220603,branch
Mix & Match,магазин,Женская одежда; Обувные магазины; Сумки / Кожгалантерея; Верхняя одежда,"проспект Сейфуллина, 617",2 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.7,50,87086923572,,,,,,,https://instagram.com/mixandmatch.kz,,,https://wa.me/77086923572,,,,,,,,43.23391,76.935099,https://2gis.com/firm/70000001062948255,branch
Mix market,магазин,Продуктовые магазины; Хозтовары; Канцтовары,"проспект Абая, 46/1",,050022,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-03:00; Вт: 07:00-03:00; Ср: 07:00-03:00; Чт: 07:00-03:00; Пт: 07:00-03:00; Сб: 07:00-03:00; Вс: 07:00-03:00,+05:00,3.2,60,87770160737,87779674256,,,,,,,,,https://wa.me/77779674256,,,,,,,,43.240545,76.922797,https://2gis.com/firm/9429940001081493,branch
Mix market,мини-маркет,Супермаркеты,,,,,,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,3.6,5,,,,,,,,,,,,,,,,,,,,,https://2gis.com/firm/70000001087012938,branch
Mix market,мини-маркет,Супермаркеты,"улица Тажибаевой, 157 к7",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,3.0,23,,,,,,,,,,,,,,,,,,,43.208837,76.890378,https://2gis.com/firm/70000001055458788,branch
Mix market,мини-маркет,Супермаркеты,"улица Каныша Сатпаева, 90/36 блок 1",,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,3.7,17,,,,,,,,,,,,,,,,,,,43.231415,76.874259,https://2gis.com/firm/70000001052526444,branch
Mix market,мини-маркет,Супермаркеты,"улица Розыбакиева, 181а",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,2.8,27,,,,,,,,,,,,,,,,,,,43.214575,76.892455,https://2gis.com/firm/70000001051297051,branch
MM Market,мини-маркет,Супермаркеты,"проспект Аль-Фараби, 116/36",,050044,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,1.9,12,87054875589,87051111507,,,,,,,,,https://wa.me/77054875589,,,,,,,,43.215834,76.938654,https://2gis.com/firm/70000001081569765,branch
Mobaks,магазин,Мобильные телефоны; Аксессуары к телефонам,"улица Розыбакиева, 125/5",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,3.7,3,87472229373,87787006830,,,,,,https://instagram.com/mobaks_02,,,https://wa.me/77472229373,,,,,,,,43.225053,76.891095,https://2gis.com/firm/70000001064647166,branch
Modish,магазин,Мужская одежда; Обувные магазины; Головные / шейные уборы; Сумки / Кожгалантерея,"улица Жолдасбекова, 9а",123 бутик; 1 этаж,050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,1,87078377137 (единый номер: пн-вс 10:00-21:00),,,,,,,https://instagram.com/modish_kz,,,https://wa.me/77078377137,,,,,,,,43.234604,76.955702,https://2gis.com/firm/9429940001407601,branch
Mol Esentai ,продуктовый магазин,Продуктовые магазины,"микрорайон Коктем-1, 19",1 этаж,050040,Коктем-1 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-01:00; Вт: 08:00-01:00; Ср: 08:00-01:00; Чт: 08:00-01:00; Пт: 08:00-01:00; Сб: 08:00-01:00; Вс: 08:00-01:00,+05:00,2.2,41,87473738484,,,,,,,,,,https://wa.me/77473738484,,,,,,,,43.228225,76.924504,https://2gis.com/firm/70000001022730517,branch
MonAmie,магазин,Косметика / Парфюмерия; Средства гигиены,"проспект Сейфуллина, 617",1 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.4,252,87076397883,87272244818,,,http://monamie.kz,,,https://instagram.com/monamie.kz,https://facebook.com/monamieshops,https://vk.com/monamiekz,,,,,,,,,43.234548,76.936063,https://2gis.com/firm/70000001035160674,branch
MonAmie,магазин,Косметика / Парфюмерия; Средства гигиены,"улица Каныша Сатпаева, 90",1 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.5,391,87070442619,87273397405,,,http://monamie.kz,,,https://instagram.com/monamie.kz,https://facebook.com/monamieshops,https://vk.com/monamiekz,,,,,,,,,43.232563,76.877826,https://2gis.com/firm/9429940000894332,branch
MonAmie,магазин,Косметика / Парфюмерия; Средства гигиены,"проспект Абая, 115",1 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.7,939,87273755945,87070442608,,,http://monamie.kz,,,https://instagram.com/monamie.kz,https://facebook.com/monamieshops,https://vk.com/monamiekz,,,,,,,,,43.239852,76.902589,https://2gis.com/firm/9429940000819707,branch
MonAmie,магазин,Косметика / Парфюмерия; Средства гигиены,"улица Жандосова, 21",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.6,403,87273560610,87070442611,,,http://monamie.kz,,,https://instagram.com/monamie.kz,https://facebook.com/monamieshops,https://vk.com/monamiekz,,,,,,,,,43.231849,76.898696,https://2gis.com/firm/9429940000819706,branch
MonAmie,магазин,Косметика / Парфюмерия,"проспект Назарбаева, 193",,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,651,87272621256,87070442609,,,http://monamie.kz,,,https://instagram.com/monamie.kz,https://facebook.com/monamieshops,https://vk.com/monamiekz,,,,,,,,,43.239626,76.94833,https://2gis.com/firm/9429940000819703,branch
MonAmie,магазин,Косметика / Парфюмерия; Средства гигиены,"проспект Абая, 46",,050022,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.3,196,87273785452,87070442615,,,http://monamie.kz,,,https://instagram.com/monamie.kz,https://facebook.com/monamieshops,https://vk.com/monamiekz,,,,,,,,,43.240571,76.923165,https://2gis.com/firm/9429940000819700,branch
MonAmie,пункт выдачи интернет-заказов,Пункты выдачи интернет-заказов,"проспект Аль-Фараби, 95",цокольный этаж; Вход со стороны Аль-фараби,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.6,7,87750070204,,,,http://monamie.kz,,,https://instagram.com/monamie.kz,https://facebook.com/monamieshops,https://vk.com/monamiekz,,,,,,,,,43.208625,76.913968,https://2gis.com/firm/70000001083469491,branch
Monsoon Children,магазин,Детская одежда,"улица Розыбакиева, 247а",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.0,6,,,,,,,,,,,,,,,,,,,43.202591,76.892334,https://2gis.com/firm/9429940001027895,branch
Moskva,продуктовый магазин,Продуктовые магазины,"8-й микрорайон, 41а",,050006,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:30-24:00; Вт: 07:30-24:00; Ср: 07:30-24:00; Чт: 07:30-24:00; Пт: 07:30-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.0,50,87028767370,,,,,,,,,,https://wa.me/77028767370,,,,,,,,43.229347,76.867307,https://2gis.com/firm/70000001063719686,branch
Moto-Bike,магазин,Запчасти для мототехники; Автохимия; Мототехника,"улица Тлендиева, 216а",,050046,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.5,34,87076110978,87072690479,,,,,,,,,https://wa.me/77072690479,https://wa.me/77014132240,,,,,,,43.237844,76.874758,https://2gis.com/firm/70000001086812108,branch
Moy Malish,магазин,Игрушки; Настольные игры; Канцтовары; Детская одежда; Новогодние товары,"улица Жамбыла, 182",1 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.5,46,87053004694,87057423267,,,http://moymalish.satu.kz,,,https://instagram.com/moymalish.kz_joy,,,https://wa.me/77057423267,,,,,,,,43.245232,76.908105,https://2gis.com/firm/70000001038554373,branch
mramor_almaty2020,магазин,Облицовочный камень; Декоративные отделочные элементы и материалы,"улица Шевченко, 204а",2 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00,+05:00,,,87073027020,,,,,,,,,,https://wa.me/77073027020,,,,,,,,43.242296,76.890982,https://2gis.com/firm/70000001057547241,branch
Mumino market,мини-маркет,Супермаркеты,"улица Жарокова, 137/1 блок Г3",цокольный этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.2,19,87073388562,,,,,,,https://instagram.com/mumino_market,,,https://wa.me/77073388562,,,,,,,,43.23622,76.899444,https://2gis.com/firm/70000001048536462,branch
Mustafina.shop,магазин,Верхняя одежда; Женская одежда,"проспект Гагарина, 309",цокольный этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.3,71,87077399990,,,,,,,https://instagram.com/mustafina.shop,,,https://wa.me/77077399990,,,,,,,,43.203167,76.896863,https://2gis.com/firm/70000001047282213,branch
My Mart,мини-маркет,Супермаркеты; Доставка продуктов,"улица Розыбакиева, 197 блок 1",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,2.3,3,,,,,,,,https://instagram.com/mymart_stores,,,,,,,https://t.me/mymartteam,,,,43.209274,76.893128,https://2gis.com/firm/70000001090107942,branch
My Mart,мини-маркет,Супермаркеты,,,,,,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,1.9,11,,,,,,,,https://instagram.com/mymart_stores,,,,,,,https://t.me/mymartteam,,,,,,https://2gis.com/firm/70000001089708557,branch
My Mart,мини-маркет,Супермаркеты,"улица Масанчи, 88",,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,1.0,7,,,,,,,,https://instagram.com/mymart_stores,,,,,,,https://t.me/mymartteam,,,,43.243863,76.930916,https://2gis.com/firm/70000001089274514,branch
My Mart,мини-маркет,Супермаркеты,"улица Шевченко, 97",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,1.0,2,,,,,,,,https://instagram.com/mymart_stores,,,,,,,https://t.me/mymartteam,,,,43.245681,76.929996,https://2gis.com/firm/70000001089274478,branch
My Mart,мини-маркет,Супермаркеты,"улица Мауленова, 112",,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,2.7,16,,,,,,,,https://instagram.com/mymart_stores,,,,,,,https://t.me/mymartteam,,,,43.2438,76.936416,https://2gis.com/firm/70000001089274192,branch
My Mart,мини-маркет,Супермаркеты,"проспект Аль-Фараби, 103/3",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,3.3,11,,,,,,,,https://instagram.com/mymart_stores,,,,,,,https://t.me/mymartteam,,,,43.204927,76.912754,https://2gis.com/firm/70000001088172954,branch
